_id,name,area,district,state,pincode,latitude,longitude,qr,population,latitudes,longitudes,__v
653927a0e0265e4af914bdd5,Police Station,Abrama Road,Bhilwara,Rajasthan,,25.732783,74.334844,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247743/nmqedlngl6ycpjtgqhwa.png,0,,,
653927a0e0265e4af914bdd6,Ghantaghar Thana,Kasturba Gandhi Road,Udaipur,Rajasthan,,24.581524,73.685938,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/tigsdpbfmjp6hiycts97.png,0,,,
653927a0e0265e4af914bdd7,Police Station,Dudeshwar Road,Bhilwara,Rajasthan,,25.732783,74.334844,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/ptlbxymkvyakjmkrwnpy.png,0,,,
653927a0e0265e4af914bdd8,Badanpura Police Chowki,Ahmedabad Road,Jaipur,Rajasthan,388255,26.9359950831,75.8433659696,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247750/v89mqhsxyzo65rs5aztc.png,0,,,
653927a0e0265e4af914bdd9,Police Station,Old Bayad Village Road,Bhilwara,Rajasthan,383325,25.732783,74.334844,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247744/j28mhkige4zcy9gugk1h.png,0,,,
653927a0e0265e4af914bddb,Police Chowki Somesar,Nh8a Kutch Road,Sirohi,Rajasthan,370655,24.79251,73.04647,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247743/atjpunp0v6ps9gutqydv.png,0,,,
653927a0e0265e4af914bddc,Police Chowki Somesar,SH-97,Sirohi,Rajasthan,,24.79251,73.04647,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247750/fmzh8pri26f7dhtwdczx.png,0,,,
653927a0e0265e4af914bddd,South Police Chowki,Omkareshwar Mahadev Mandir,Sikar,Rajasthan,,27.60074,75.14129,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/gqqaix09gxmnthgkvp1k.png,0,,,
653927a0e0265e4af914bdde,Police Chowki,Hanthi Tanki Road,Churu,Rajasthan,,27.834298,74.332289,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/ofrtt3iqi7vyzwuxcjrv.png,0,,,
653927a0e0265e4af914bddf,Police Station Krishnaganj,Virpur Gam Road,Ajmer,Rajasthan,,26.50589,74.63056,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247750/kk1phjj6ytkmsdjbyem3.png,0,,,
653927a0e0265e4af914bde0,Women Police Station,Kamrej Surat Road,Rajsamand,Rajasthan,,25.06254,73.91221,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247744/kpzmqkwpfibystw7olpe.png,0,,,
653927a0e0265e4af914bde1,Police Chowki New Bus Stand,SH-9,Tonk,Rajasthan,,26.16976,75.80151,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/bbakppiqrql6w3sg6ukp.png,0,,,
